tile_id,quadkey,lat,lon,carrier,download_mbps,upload_mbps,latency_ms,tests,devices,distance_m,inside_stadium,section,nearest_das,das_distance_m,signal_quality
TILE_01281,032023166150911,40.8119898,-74.0746122,T-Mobile,207.81,45.47,19.2,57,41,200.2,True,South_Upper,DAS-S1,34.8,93.0
TILE_01282,032023141643541,40.8119898,-74.0743673,Verizon,228.25,28.77,18.4,64,47,198.6,True,South_Upper,DAS-S1,14.2,97.2
TILE_01283,032023152501732,40.8119898,-74.0743673,AT&T,190.66,23.13,24.0,50,30,198.6,True,South_Upper,DAS-S1,14.2,97.2
TILE_01284,032023138808723,40.8119898,-74.0743673,T-Mobile,263.2,44.11,8.4,86,35,198.6,True,South_Upper,DAS-S1,14.2,97.2
TILE_01285,032023123182955,40.8119898,-74.0741224,Verizon,225.53,50.27,13.4,128,56,199.2,True,South_Upper,DAS-S1,6.6,98.7
TILE_01286,032023142553575,40.8119898,-74.0741224,AT&T,168.22,17.12,32.1,89,50,199.2,True,South_Upper,DAS-S1,6.6,98.7
TILE_01287,032023182395708,40.8119898,-74.0741224,T-Mobile,239.03,45.06,14.7,53,27,199.2,True,South_Upper,DAS-S1,6.6,98.7
TILE_01288,032023177255404,40.8119898,-74.0738776,Verizon,178.74,24.01,21.4,50,33,201.9,True,South_Upper,DAS-S1,27.2,94.6
TILE_01289,032023143491642,40.8119898,-74.0738776,AT&T,221.18,13.67,31.6,62,39,201.9,True,South_Upper,DAS-S1,27.2,94.6
TILE_01290,032023181784771,40.8119898,-74.0733878,Verizon,264.9,40.16,26.8,102,37,213.3,True,South_Upper,DAS-S1,68.5,86.3
TILE_01291,032023187683399,40.8119898,-74.0731429,AT&T,130.8,27.08,43.5,197,54,221.7,True,South_Upper,DAS-S1,89.2,82.2
TILE_01292,032023152333880,40.8119898,-74.0731429,US Cellular,132.62,9.41,39.3,25,22,221.7,True,South_Upper,DAS-S1,89.2,82.2
TILE_01293,032023199139249,40.8119898,-74.072898,Verizon,114.42,29.21,21.5,86,94,231.6,True,South_Upper,DAS-S1,109.9,78.0
TILE_01294,032023190262936,40.8119898,-74.072898,T-Mobile,259.0,42.85,19.6,60,55,231.6,True,South_Upper,DAS-S1,109.9,78.0
TILE_01295,032023195399822,40.8119898,-74.0726531,T-Mobile,116.68,25.66,19.8,107,59,242.9,True,South_Upper,DAS-S1,130.5,73.9
TILE_01296,032023188316739,40.8119898,-74.0724082,Verizon,158.66,20.69,34.0,120,34,255.3,True,South_Upper,DAS-S1,151.2,69.8
TILE_01297,032023194980275,40.8119898,-74.0724082,T-Mobile,253.6,33.54,18.7,37,24,255.3,True,South_Upper,DAS-S1,151.2,69.8
TILE_01298,032023159577143,40.8119898,-74.0724082,US Cellular,78.62,19.7,47.3,14,10,255.3,True,South_Upper,DAS-S1,151.2,69.8
TILE_01299,032023130529671,40.8119898,-74.0721633,Verizon,100.43,12.88,30.9,152,63,268.8,True,South_Upper,DAS-S1,171.9,65.6
TILE_01300,032023183689553,40.8119898,-74.0721633,AT&T,129.76,12.71,37.0,110,35,268.8,True,South_Upper,DAS-S1,171.9,65.6
TILE_01301,032023198829579,40.8119898,-74.0721633,T-Mobile,98.96,19.08,22.1,109,36,268.8,True,South_Upper,DAS-S1,171.9,65.6
TILE_01302,032023170608433,40.8119898,-74.0719184,Verizon,139.8,7.2,40.8,237,113,283.1,True,South_Upper,DAS-S1,192.5,61.5
TILE_01303,032023189971029,40.8119898,-74.0719184,AT&T,133.51,7.81,41.1,113,68,283.1,True,South_Upper,DAS-S1,192.5,61.5
TILE_01304,032023171828483,40.8119898,-74.0719184,T-Mobile,173.59,41.91,35.5,99,49,283.1,True,South_Upper,DAS-S1,192.5,61.5
TILE_01305,032023119973741,40.8119898,-74.0716735,Verizon,108.77,20.1,47.0,98,63,298.2,True,South_Upper,DAS-S1,213.2,60.0
TILE_01306,032023131150647,40.8119898,-74.0716735,AT&T,63.27,6.93,53.6,128,57,298.2,True,South_Upper,DAS-S1,213.2,60.0
TILE_01307,032023187517188,40.8119898,-74.0716735,T-Mobile,154.81,18.4,33.0,165,79,298.2,True,South_Upper,DAS-S1,213.2,60.0
TILE_01308,032023179588057,40.8119898,-74.0714286,Verizon,82.95,3.05,33.1,59,38,313.9,True,Concourse,DAS-E1,207.9,60.0
TILE_01309,032023195530766,40.8119898,-74.0714286,AT&T,94.8,16.16,47.7,45,37,313.9,True,Concourse,DAS-E1,207.9,60.0
TILE_01310,032023113962487,40.8119898,-74.0711837,Verizon,138.79,15.3,39.4,62,27,330.2,True,Concourse,DAS-E1,203.6,60.0
TILE_01311,032023184473070,40.8119898,-74.0711837,T-Mobile,114.64,21.69,27.3,77,25,330.2,True,Concourse,DAS-E1,203.6,60.0
TILE_01312,032023127035837,40.8119898,-74.0709388,Verizon,102.41,3.48,44.4,192,97,346.9,True,Concourse,DAS-E1,201.4,60.0
TILE_01313,032023189751801,40.8119898,-74.0706939,AT&T,134.67,14.16,40.2,164,52,364.0,True,Concourse,DAS-E1,201.2,60.0
TILE_01314,032023199310751,40.8119898,-74.0706939,T-Mobile,149.13,26.99,43.9,106,52,364.0,True,Concourse,DAS-E1,201.2,60.0
TILE_01315,032023151543415,40.8119898,-74.070449,AT&T,120.05,11.33,43.5,128,32,381.5,True,Concourse,DAS-E1,203.2,60.0
TILE_01316,032023182056871,40.8119898,-74.070449,T-Mobile,119.94,16.05,37.6,100,34,381.5,True,Concourse,DAS-E1,203.2,60.0
TILE_01317,032023125366391,40.8119898,-74.0702041,T-Mobile,170.88,12.1,26.3,40,20,399.3,False,Exterior,DAS-E1,207.2,60.1
TILE_01318,032023135157567,40.8119898,-74.0699592,Verizon,119.66,28.28,37.3,37,11,417.4,False,Exterior,DAS-E1,213.2,58.3
TILE_01319,032023179938710,40.8119898,-74.0699592,T-Mobile,121.44,2.0,29.4,17,12,417.4,False,Exterior,DAS-E1,213.2,58.3
TILE_01320,032023123074740,40.8119898,-74.0697143,AT&T,52.61,2.0,46.8,53,22,435.6,False,Exterior,DAS-E1,220.9,56.4
TILE_01321,032023141768587,40.8119898,-74.0697143,T-Mobile,17.7,13.57,30.5,37,34,435.6,False,Exterior,DAS-E1,220.9,56.4
TILE_01322,032023140221183,40.8119898,-74.0694694,Verizon,100.03,2.0,43.7,27,9,454.1,False,Exterior,DAS-E1,230.2,54.6
TILE_01323,032023150775905,40.8119898,-74.0692245,Verizon,127.98,2.61,38.6,95,31,472.8,False,Exterior,DAS-E1,241.0,52.7
TILE_01324,032023112452534,40.8119898,-74.0692245,AT&T,91.23,13.22,46.0,58,34,472.8,False,Exterior,DAS-E1,241.0,52.7
TILE_01325,032023177546053,40.8119898,-74.0692245,T-Mobile,148.61,14.14,35.4,54,17,472.8,False,Exterior,DAS-E1,241.0,52.7
TILE_01326,032023168182870,40.8119898,-74.0689796,Verizon,10.25,22.35,36.4,10,5,491.6,False,Exterior,DAS-E1,253.0,50.8
TILE_01327,032023187995037,40.8119898,-74.0689796,AT&T,66.98,20.29,54.4,8,5,491.6,False,Exterior,DAS-E1,253.0,50.8
TILE_01328,032023130113693,40.8119898,-74.0687347,Verizon,75.62,13.34,45.9,33,18,510.6,False,Exterior,DAS-E1,266.0,48.9
TILE_01329,032023133410858,40.8119898,-74.0687347,AT&T,102.75,2.0,49.4,18,17,510.6,False,Exterior,DAS-E1,266.0,48.9
TILE_01330,032023179605016,40.8119898,-74.0687347,T-Mobile,147.2,19.57,35.1,25,7,510.6,False,Exterior,DAS-E1,266.0,48.9
TILE_01331,032023141322599,40.8119898,-74.0687347,US Cellular,25.83,14.26,71.1,9,3,510.6,False,Exterior,DAS-E1,266.0,48.9
TILE_01332,032023185025432,40.8119898,-74.0684898,AT&T,141.9,9.05,56.2,60,26,529.7,False,Exterior,DAS-E1,280.0,47.0
TILE_01333,032023175954452,40.8119898,-74.0684898,T-Mobile,48.26,25.71,42.7,26,29,529.7,False,Exterior,DAS-E1,280.0,47.0
TILE_01334,032023118184966,40.8119898,-74.0682449,Verizon,45.24,20.26,54.3,30,21,548.9,False,Exterior,DAS-E1,294.8,45.1
TILE_01335,032023189911995,40.8119898,-74.0682449,AT&T,43.22,9.12,68.3,21,13,548.9,False,Exterior,DAS-E1,294.8,45.1
TILE_01336,032023176360812,40.8119898,-74.068,Verizon,108.25,19.37,44.7,60,36,568.2,False,Exterior,DAS-E1,310.2,43.2
TILE_01337,032023121868436,40.8119898,-74.068,AT&T,43.38,7.36,66.5,23,21,568.2,False,Exterior,DAS-E1,310.2,43.2
TILE_01338,032023150749403,40.8121429,-74.08,AT&T,69.46,10.85,58.4,33,23,513.3,False,Exterior,DAS-W1,261.4,48.7
TILE_01339,032023131428456,40.8121429,-74.0797551,Verizon,121.73,16.33,39.9,28,15,494.0,False,Exterior,DAS-W1,247.1,50.6
TILE_01340,032023185121074,40.8121429,-74.0797551,AT&T,105.87,13.99,59.5,15,12,494.0,False,Exterior,DAS-W1,247.1,50.6
TILE_01341,032023166571750,40.8121429,-74.0797551,T-Mobile,67.73,2.0,38.4,25,11,494.0,False,Exterior,DAS-W1,247.1,50.6
TILE_01342,032023138852311,40.8121429,-74.0795102,AT&T,56.87,2.0,50.1,35,30,474.8,False,Exterior,DAS-W1,233.9,52.5
TILE_01343,032023114318742,40.8121429,-74.0792653,Verizon,131.28,19.71,47.2,15,15,455.8,False,Exterior,DAS-W1,221.7,54.4
TILE_01344,032023140386263,40.8121429,-74.0792653,US Cellular,71.52,7.05,66.8,7,2,455.8,False,Exterior,DAS-W1,221.7,54.4
TILE_01345,032023135654017,40.8121429,-74.0790204,Verizon,95.26,3.15,45.1,31,7,436.9,False,Exterior,DAS-W1,210.9,56.3
TILE_01346,032023128539922,40.8121429,-74.0790204,AT&T,70.56,21.89,54.7,15,9,436.9,False,Exterior,DAS-W1,210.9,56.3
TILE_01347,032023195936998,40.8121429,-74.0787755,Verizon,48.75,19.33,38.2,12,3,418.2,False,Exterior,DAS-W1,201.6,58.2
TILE_01348,032023112185149,40.8121429,-74.0787755,AT&T,88.69,7.3,49.0,10,3,418.2,False,Exterior,DAS-W1,201.6,58.2
TILE_01349,032023136350576,40.8121429,-74.0787755,T-Mobile,206.82,12.6,24.2,10,4,418.2,False,Exterior,DAS-W1,201.6,58.2
TILE_01350,032023172895862,40.8121429,-74.0785306,Verizon,99.97,21.44,37.4,57,20,399.7,False,Exterior,DAS-W1,194.1,60.0
TILE_01351,032023178300361,40.8121429,-74.0785306,T-Mobile,127.44,26.85,29.3,25,15,399.7,False,Exterior,DAS-W1,194.1,60.0
TILE_01352,032023149571154,40.8121429,-74.0782857,T-Mobile,133.44,18.1,34.2,18,11,381.4,False,Exterior,DAS-W1,188.5,61.9
TILE_01353,032023150121520,40.8121429,-74.0780408,Verizon,188.6,2.0,34.6,60,39,363.4,True,Concourse,DAS-W1,185.1,63.0
TILE_01354,032023121693725,40.8121429,-74.0780408,AT&T,131.76,7.71,52.3,114,50,363.4,True,Concourse,DAS-W1,185.1,63.0
TILE_01355,032023135006498,40.8121429,-74.0780408,T-Mobile,82.45,19.44,39.0,121,32,363.4,True,Concourse,DAS-W1,185.1,63.0
TILE_01356,032023145284395,40.8121429,-74.0777959,Verizon,135.17,10.88,35.4,237,72,345.7,True,Concourse,DAS-S2,169.1,66.2
TILE_01357,032023178087223,40.8121429,-74.0777959,AT&T,47.82,8.32,46.2,154,110,345.7,True,Concourse,DAS-S2,169.1,66.2
TILE_01358,032023160020437,40.8121429,-74.0777959,T-Mobile,148.2,17.67,29.5,89,94,345.7,True,Concourse,DAS-S2,169.1,66.2
TILE_01359,032023148969594,40.8121429,-74.077551,Verizon,115.55,18.86,38.5,68,15,328.3,True,Concourse,DAS-S2,148.6,70.3
TILE_01360,032023141451493,40.8121429,-74.077551,AT&T,116.89,20.29,43.7,41,28,328.3,True,Concourse,DAS-S2,148.6,70.3
TILE_01361,032023119450007,40.8121429,-74.0773061,Verizon,157.81,13.38,31.7,140,160,311.2,True,Concourse,DAS-S2,128.1,74.4
TILE_01362,032023198666481,40.8121429,-74.0773061,AT&T,95.92,20.42,37.3,228,112,311.2,True,Concourse,DAS-S2,128.1,74.4
TILE_01363,032023165674396,40.8121429,-74.0773061,US Cellular,103.15,12.93,56.7,41,28,311.2,True,Concourse,DAS-S2,128.1,74.4
TILE_01364,032023189303201,40.8121429,-74.0770612,Verizon,169.13,15.96,19.3,39,14,294.7,True,Concourse,DAS-S2,107.6,78.5
TILE_01365,032023151463860,40.8121429,-74.0770612,AT&T,124.07,18.25,39.6,19,19,294.7,True,Concourse,DAS-S2,107.6,78.5
TILE_01366,032023152903784,40.8121429,-74.0770612,T-Mobile,171.48,31.07,23.8,23,14,294.7,True,Concourse,DAS-S2,107.6,78.5
TILE_01367,032023118638394,40.8121429,-74.0770612,US Cellular,123.85,9.49,36.1,6,3,294.7,True,Concourse,DAS-S2,107.6,78.5
TILE_01368,032023117890192,40.8121429,-74.0765714,Verizon,206.73,33.29,38.0,204,139,263.4,True,South_Upper,DAS-S2,67.0,86.6
TILE_01369,032023194975637,40.8121429,-74.0765714,T-Mobile,207.18,48.9,20.2,117,115,263.4,True,South_Upper,DAS-S2,67.0,86.6
TILE_01370,032023116232961,40.8121429,-74.0763265,AT&T,161.12,30.19,44.0,24,12,248.8,True,South_Upper,DAS-S2,47.2,90.6
TILE_01371,032023137151122,40.8121429,-74.0763265,T-Mobile,167.64,30.7,18.6,24,12,248.8,True,South_Upper,DAS-S2,47.2,90.6
TILE_01372,032023176312625,40.8121429,-74.0760816,Verizon,224.06,29.9,28.8,98,32,235.2,True,South_Upper,DAS-S2,28.6,94.3
TILE_01373,032023177619743,40.8121429,-74.0758367,Verizon,202.34,28.38,26.3,96,78,222.6,True,South_Upper,DAS-S2,16.2,96.8
TILE_01374,032023189087653,40.8121429,-74.0758367,AT&T,181.59,27.16,27.1,117,33,222.6,True,South_Upper,DAS-S2,16.2,96.8
TILE_01375,032023121733493,40.8121429,-74.0758367,T-Mobile,324.35,48.51,20.0,147,32,222.6,True,South_Upper,DAS-S2,16.2,96.8
TILE_01376,032023127629639,40.8121429,-74.0755918,Verizon,221.75,27.53,22.1,307,183,211.4,True,South_Upper,DAS-S2,23.7,95.3
TILE_01377,032023120336494,40.8121429,-74.0755918,AT&T,147.29,22.15,25.2,182,151,211.4,True,South_Upper,DAS-S2,23.7,95.3
TILE_01378,032023140646814,40.8121429,-74.0755918,T-Mobile,246.58,38.5,9.2,243,98,211.4,True,South_Upper,DAS-S2,23.7,95.3
TILE_01379,032023144720332,40.8121429,-74.0753469,Verizon,234.8,41.29,32.9,308,132,201.6,True,South_Upper,DAS-S2,41.4,91.7
TILE_01380,032023192283508,40.8121429,-74.0753469,T-Mobile,288.71,45.46,15.3,213,75,201.6,True,South_Upper,DAS-S2,41.4,91.7
TILE_01381,032023126072388,40.8121429,-74.075102,Verizon,183.72,44.62,27.8,56,23,193.5,True,South_Upper,DAS-S2,61.0,87.8
TILE_01382,032023130724463,40.8121429,-74.075102,AT&T,198.22,27.04,29.5,23,11,193.5,True,South_Upper,DAS-S2,61.0,87.8
TILE_01383,032023168665956,40.8121429,-74.075102,T-Mobile,341.43,31.44,26.1,45,10,193.5,True,South_Upper,DAS-S2,61.0,87.8
TILE_01384,032023174970041,40.8121429,-74.0748571,Verizon,180.65,36.76,34.6,114,56,187.4,True,South_Upper,DAS-S1,57.7,88.5
TILE_01385,032023174711379,40.8121429,-74.0748571,AT&T,248.13,9.62,32.1,71,49,187.4,True,South_Upper,DAS-S1,57.7,88.5
TILE_01386,032023119922392,40.8121429,-74.0746122,Verizon,189.61,31.14,28.2,124,87,183.4,True,South_Upper,DAS-S1,38.2,92.4
TILE_01387,032023140675261,40.8121429,-74.0746122,AT&T,215.48,24.83,22.7,204,79,183.4,True,South_Upper,DAS-S1,38.2,92.4
TILE_01388,032023124052001,40.8121429,-74.0743673,Verizon,245.78,24.89,28.1,327,177,181.6,True,South_Upper,DAS-S1,21.2,95.8
TILE_01389,032023177051492,40.8121429,-74.0743673,T-Mobile,267.22,32.7,35.3,130,117,181.6,True,South_Upper,DAS-S1,21.2,95.8
TILE_01390,032023120868730,40.8121429,-74.0743673,US Cellular,142.24,18.28,38.2,50,20,181.6,True,South_Upper,DAS-S1,21.2,95.8
TILE_01391,032023112045112,40.8121429,-74.0741224,Verizon,178.53,30.48,22.9,211,74,182.3,True,South_Upper,DAS-S1,17.2,96.6
TILE_01392,032023194534799,40.8121429,-74.0741224,AT&T,202.39,14.09,30.0,99,74,182.3,True,South_Upper,DAS-S1,17.2,96.6
TILE_01393,032023130510384,40.8121429,-74.0741224,US Cellular,158.37,9.09,33.6,22,16,182.3,True,South_Upper,DAS-S1,17.2,96.6
TILE_01394,032023124609073,40.8121429,-74.0738776,Verizon,257.48,21.24,37.9,183,65,185.2,True,South_Upper,DAS-S1,31.5,93.7
TILE_01395,032023151638539,40.8121429,-74.0738776,AT&T,179.49,31.77,30.0,76,97,185.2,True,South_Upper,DAS-S1,31.5,93.7
TILE_01396,032023135517076,40.8121429,-74.0736327,Verizon,154.02,26.18,24.2,46,23,190.4,True,South_Upper,DAS-S1,50.4,89.9
TILE_01397,032023189423483,40.8121429,-74.0736327,AT&T,173.02,17.18,32.1,57,31,190.4,True,South_Upper,DAS-S1,50.4,89.9
TILE_01398,032023185470006,40.8121429,-74.0736327,T-Mobile,207.1,26.18,16.9,34,31,190.4,True,South_Upper,DAS-S1,50.4,89.9
TILE_01399,032023170413161,40.8121429,-74.0736327,US Cellular,123.69,20.88,34.4,8,7,190.4,True,South_Upper,DAS-S1,50.4,89.9
TILE_01400,032023176148925,40.8121429,-74.0733878,Verizon,222.92,25.92,35.4,169,97,197.6,True,South_Upper,DAS-S1,70.3,85.9
TILE_01401,032023191659161,40.8121429,-74.0733878,AT&T,149.47,23.7,36.7,179,100,197.6,True,South_Upper,DAS-S1,70.3,85.9
TILE_01402,032023131343053,40.8121429,-74.0733878,T-Mobile,249.62,42.52,20.8,154,82,197.6,True,South_Upper,DAS-S1,70.3,85.9
TILE_01403,032023193258934,40.8121429,-74.0731429,Verizon,155.02,20.78,35.9,103,61,206.6,True,South_Upper,DAS-S1,90.6,81.9
TILE_01404,032023185696899,40.8121429,-74.0731429,AT&T,120.29,15.03,35.8,46,35,206.6,True,South_Upper,DAS-S1,90.6,81.9
TILE_01405,032023198273148,40.8121429,-74.0731429,T-Mobile,117.7,33.87,27.7,46,46,206.6,True,South_Upper,DAS-S1,90.6,81.9
TILE_01406,032023192288556,40.8121429,-74.072898,Verizon,113.44,22.02,20.0,75,36,217.2,True,South_Upper,DAS-S1,111.0,77.8
TILE_01407,032023115576467,40.8121429,-74.072898,AT&T,137.61,11.87,32.2,70,34,217.2,True,South_Upper,DAS-S1,111.0,77.8
TILE_01408,032023150909639,40.8121429,-74.072898,T-Mobile,149.55,16.5,32.1,66,19,217.2,True,South_Upper,DAS-S1,111.0,77.8
TILE_01409,032023131404253,40.8121429,-74.0726531,AT&T,117.37,25.36,38.2,74,36,229.2,True,South_Upper,DAS-S1,131.5,73.7
TILE_01410,032023119439298,40.8121429,-74.0726531,T-Mobile,171.83,19.17,17.9,113,36,229.2,True,South_Upper,DAS-S1,131.5,73.7
TILE_01411,032023113900531,40.8121429,-74.0724082,AT&T,80.57,3.75,39.6,89,28,242.3,True,South_Upper,DAS-S1,152.0,69.6
TILE_01412,032023179887231,40.8121429,-74.0721633,Verizon,195.62,12.35,37.9,157,135,256.5,True,South_Upper,DAS-S1,172.6,65.5
TILE_01413,032023174762183,40.8121429,-74.0721633,AT&T,155.05,18.53,44.4,182,109,256.5,True,South_Upper,DAS-S1,172.6,65.5
TILE_01414,032023168183941,40.8121429,-74.0721633,T-Mobile,164.88,38.88,33.0,178,92,256.5,True,South_Upper,DAS-S1,172.6,65.5
TILE_01415,032023128694081,40.8121429,-74.0721633,US Cellular,67.13,6.27,50.0,62,21,256.5,True,South_Upper,DAS-S1,172.6,65.5
TILE_01416,032023149621121,40.8121429,-74.0719184,AT&T,93.18,23.9,50.5,231,98,271.5,True,South_Upper,DAS-S1,193.2,61.4
TILE_01417,032023196061816,40.8121429,-74.0719184,T-Mobile,108.03,22.36,24.2,103,71,271.5,True,South_Upper,DAS-S1,193.2,61.4
TILE_01418,032023138110806,40.8121429,-74.0716735,Verizon,173.23,13.28,50.7,134,78,287.2,True,South_Upper,DAS-E1,198.2,60.4
TILE_01419,032023131929917,40.8121429,-74.0716735,AT&T,48.38,18.09,42.3,117,49,287.2,True,South_Upper,DAS-E1,198.2,60.4
TILE_01420,032023117018050,40.8121429,-74.0716735,T-Mobile,83.17,14.14,27.6,72,48,287.2,True,South_Upper,DAS-E1,198.2,60.4
TILE_01421,032023196076189,40.8121429,-74.0714286,Verizon,54.57,12.29,39.3,95,70,303.4,True,Concourse,DAS-E1,191.5,61.7
TILE_01422,032023196408127,40.8121429,-74.0714286,AT&T,58.81,20.04,36.2,194,103,303.4,True,Concourse,DAS-E1,191.5,61.7
TILE_01423,032023190596730,40.8121429,-74.0714286,T-Mobile,47.52,20.95,27.7,134,88,303.4,True,Concourse,DAS-E1,191.5,61.7
TILE_01424,032023145838816,40.8121429,-74.0711837,US Cellular,44.89,9.96,49.7,64,19,320.2,True,Concourse,DAS-E1,186.9,62.6
TILE_01425,032023199211407,40.8121429,-74.0709388,T-Mobile,116.25,22.89,21.1,196,68,337.5,True,Concourse,DAS-E1,184.4,63.1
TILE_01426,032023138020186,40.8121429,-74.0706939,Verizon,125.65,20.79,40.9,221,103,355.0,True,Concourse,DAS-E1,184.2,63.2
TILE_01427,032023154699637,40.8121429,-74.0702041,AT&T,26.93,14.53,50.6,30,13,391.1,False,Exterior,DAS-E1,190.8,60.9
TILE_01428,032023149634048,40.8121429,-74.0697143,Verizon,111.71,23.0,40.9,31,8,428.2,False,Exterior,DAS-E1,205.6,57.2
TILE_01429,032023182440109,40.8121429,-74.0697143,AT&T,10.0,18.8,47.8,13,9,428.2,False,Exterior,DAS-E1,205.6,57.2
TILE_01430,032023144396168,40.8121429,-74.0697143,T-Mobile,67.29,16.34,26.6,12,9,428.2,False,Exterior,DAS-E1,205.6,57.2
TILE_01431,032023173781109,40.8121429,-74.0694694,T-Mobile,155.34,15.5,38.4,68,17,447.0,False,Exterior,DAS-E1,215.6,55.3
TILE_01432,032023146922601,40.8121429,-74.0692245,Verizon,32.51,17.87,46.3,18,8,465.9,False,Exterior,DAS-E1,227.0,53.4
TILE_01433,032023112426597,40.8121429,-74.0692245,AT&T,40.81,2.0,55.1,18,8,465.9,False,Exterior,DAS-E1,227.0,53.4
TILE_01434,032023116067021,40.8121429,-74.0692245,T-Mobile,10.0,29.96,34.7,6,4,465.9,False,Exterior,DAS-E1,227.0,53.4
TILE_01435,032023182095331,40.8121429,-74.0689796,Verizon,94.27,13.8,43.1,67,23,485.0,False,Exterior,DAS-E1,239.7,51.5
TILE_01436,032023143635302,40.8121429,-74.0689796,T-Mobile,109.29,28.99,34.2,55,33,485.0,False,Exterior,DAS-E1,239.7,51.5
TILE_01437,032023123065629,40.8121429,-74.0687347,Verizon,107.36,8.28,41.5,35,28,504.2,False,Exterior,DAS-E1,253.4,49.6
TILE_01438,032023162381295,40.8121429,-74.0687347,T-Mobile,91.3,27.03,33.3,41,12,504.2,False,Exterior,DAS-E1,253.4,49.6
TILE_01439,032023119526792,40.8121429,-74.0684898,Verizon,115.92,22.75,48.3,61,34,523.6,False,Exterior,DAS-E1,268.1,47.6
TILE_01440,032023125280081,40.8121429,-74.0684898,AT&T,118.97,11.54,57.6,74,19,523.6,False,Exterior,DAS-E1,268.1,47.6
TILE_01441,032023177063587,40.8121429,-74.0684898,T-Mobile,134.81,7.27,32.9,70,34,523.6,False,Exterior,DAS-E1,268.1,47.6
TILE_01442,032023133911626,40.8121429,-74.0682449,Verizon,20.44,2.0,44.6,68,27,543.0,False,Exterior,DAS-E1,283.4,45.7
TILE_01443,032023115305316,40.8121429,-74.0682449,AT&T,48.64,10.46,49.0,42,25,543.0,False,Exterior,DAS-E1,283.4,45.7
TILE_01444,032023171722181,40.8121429,-74.0682449,US Cellular,49.18,2.0,70.7,15,4,543.0,False,Exterior,DAS-E1,283.4,45.7
TILE_01445,032023131514490,40.8122959,-74.08,Verizon,93.39,13.06,54.1,28,18,507.5,False,Exterior,DAS-W1,249.7,49.2
TILE_01446,032023185327446,40.8122959,-74.08,AT&T,75.41,2.01,59.0,51,15,507.5,False,Exterior,DAS-W1,249.7,49.2
TILE_01447,032023165738351,40.8122959,-74.08,T-Mobile,153.84,28.33,38.3,33,16,507.5,False,Exterior,DAS-W1,249.7,49.2
TILE_01448,032023180368950,40.8122959,-74.0797551,T-Mobile,212.95,23.63,38.9,28,14,488.0,False,Exterior,DAS-W1,234.8,51.2
TILE_01449,032023174259287,40.8122959,-74.0795102,T-Mobile,10.0,8.02,41.2,30,11,468.6,False,Exterior,DAS-W1,220.7,53.1
TILE_01450,032023125636817,40.8122959,-74.0792653,AT&T,150.26,18.25,52.3,11,8,449.3,False,Exterior,DAS-W1,207.8,55.1
TILE_01451,032023199195207,40.8122959,-74.0792653,T-Mobile,97.82,18.15,33.3,7,8,449.3,False,Exterior,DAS-W1,207.8,55.1
TILE_01452,032023177018282,40.8122959,-74.0790204,T-Mobile,149.83,16.1,37.4,44,18,430.2,False,Exterior,DAS-W1,196.2,57.0
TILE_01453,032023143248617,40.8122959,-74.0787755,AT&T,114.47,10.95,44.9,27,12,411.1,False,Exterior,DAS-W1,186.2,58.9
TILE_01454,032023142200111,40.8122959,-74.0785306,Verizon,144.26,7.88,26.5,21,9,392.3,False,Exterior,DAS-W1,178.0,60.8
TILE_01455,032023137212299,40.8122959,-74.0785306,T-Mobile,156.49,37.2,28.4,22,10,392.3,False,Exterior,DAS-W1,178.0,60.8
TILE_01456,032023185245808,40.8122959,-74.0782857,Verizon,77.3,2.0,38.9,74,36,373.6,False,Exterior,DAS-W1,172.0,62.6
TILE_01457,032023153478041,40.8122959,-74.0782857,T-Mobile,48.35,16.14,24.4,47,20,373.6,False,Exterior,DAS-W1,172.0,62.6
TILE_01458,032023194061840,40.8122959,-74.0782857,US Cellular,73.99,5.58,48.1,19,9,373.6,False,Exterior,DAS-W1,172.0,62.6
TILE_01459,032023129063034,40.8122959,-74.0780408,AT&T,39.63,2.15,42.8,38,28,355.2,True,Concourse,DAS-W1,168.3,66.3
TILE_01460,032023185042953,40.8122959,-74.0777959,Verizon,157.47,10.88,36.3,133,41,337.0,True,Concourse,DAS-W1,167.0,66.6
TILE_01461,032023159715719,40.8122959,-74.0777959,T-Mobile,169.66,23.96,24.0,53,49,337.0,True,Concourse,DAS-W1,167.0,66.6
TILE_01462,032023178271668,40.8122959,-74.077551,Verizon,110.67,13.42,31.2,106,71,319.2,True,Concourse,DAS-S2,151.4,69.7
TILE_01463,032023186330723,40.8122959,-74.0773061,Verizon,110.43,23.28,35.7,346,126,301.6,True,Concourse,DAS-S2,131.3,73.7
TILE_01464,032023186393479,40.8122959,-74.0773061,T-Mobile,126.9,32.38,32.1,272,110,301.6,True,Concourse,DAS-S2,131.3,73.7
TILE_01465,032023187085987,40.8122959,-74.0770612,AT&T,124.43,20.8,38.7,177,94,284.6,True,Concourse,DAS-S2,111.4,77.7
TILE_01466,032023193429880,40.8122959,-74.0770612,T-Mobile,117.39,32.11,26.0,96,93,284.6,True,Concourse,DAS-S2,111.4,77.7
TILE_01467,032023148365383,40.8122959,-74.0768163,Verizon,188.15,20.2,26.9,323,154,268.0,True,South_Upper,DAS-S2,91.8,81.6
TILE_01468,032023139636207,40.8122959,-74.0768163,AT&T,168.82,17.88,30.6,277,93,268.0,True,South_Upper,DAS-S2,91.8,81.6
